iter	Passed	Remaining
0	49	19576
1	51	10289
2	52	6911
3	52	5222
4	53	4208
5	56	3722
6	57	3211
7	59	2934
8	60	2625
9	60	2376
10	63	2263
11	64	2086
12	66	1994
13	67	1860
14	68	1746
15	68	1644
16	72	1624
17	72	1541
18	74	1496
19	75	1436
20	76	1374
21	78	1356
22	79	1302
23	79	1253
24	82	1236
25	83	1204
26	84	1163
27	86	1152
28	87	1116
29	87	1082
30	90	1080
31	91	1049
32	91	1020
33	94	1018
34	95	992
35	95	967
36	98	967
37	99	944
38	99	922
39	102	921
40	102	901
41	103	881
42	106	887
43	107	868
44	109	864
45	110	847
46	110	830
47	110	813
48	111	797
49	111	781
50	113	773
51	113	758
52	113	744
53	114	734
54	115	721
55	115	708
56	115	696
57	116	685
58	117	677
59	117	666
60	118	655
61	118	645
62	118	635
63	120	630
64	120	620
65	120	611
66	121	602
67	121	593
68	122	585
69	122	577
70	122	569
71	123	563
72	124	555
73	124	548
74	124	540
75	125	533
76	125	526
77	125	520
78	126	513
79	127	509
80	127	503
81	128	497
82	128	491
83	129	485
84	129	479
85	129	473
86	130	468
87	130	462
88	131	459
89	131	454
90	132	449
91	132	444
92	133	440
93	133	435
94	134	431
95	134	426
96	135	422
97	135	418
98	136	413
99	136	409
100	136	405
101	137	402
102	138	398
103	138	394
104	138	390
105	139	386
106	139	382
107	140	378
108	140	375
109	141	373
110	142	370
111	142	366
112	142	363
113	143	359
114	143	356
115	144	352
116	144	349
117	144	346
118	145	344
119	146	341
120	146	338
121	147	334
122	147	331
123	147	328
124	148	325
125	148	323
126	149	321
127	150	318
128	150	315
129	150	313
130	151	310
131	151	307
132	152	305
133	152	302
134	152	300
135	153	297
136	153	295
137	154	292
138	154	290
139	154	287
140	155	285
141	155	283
142	156	280
143	156	278
144	157	276
145	157	273
146	157	271
147	158	269
148	158	267
149	159	265
150	159	263
151	159	260
152	160	258
153	160	256
154	161	254
155	161	252
156	161	250
157	162	248
158	162	246
159	163	244
160	164	243
161	164	242
162	166	242
163	167	240
164	167	238
165	167	236
166	168	234
167	169	233
168	169	232
169	170	230
170	170	228
171	171	226
172	171	224
173	171	223
174	172	221
175	172	220
176	173	218
177	173	216
178	174	215
179	174	213
180	174	211
181	175	209
182	175	208
183	176	206
184	176	205
185	176	203
186	177	202
187	177	200
188	178	198
189	178	197
190	178	195
191	179	194
192	179	192
193	180	191
194	180	189
195	181	188
196	181	187
197	181	185
198	182	184
199	182	182
200	183	181
201	183	179
202	184	178
203	184	177
204	184	175
205	185	174
206	185	173
207	186	171
208	186	170
209	187	169
210	187	167
211	187	166
212	188	165
213	188	164
214	189	162
215	189	161
216	190	160
217	190	159
218	190	157
219	191	156
220	191	155
221	192	153
222	192	152
223	192	151
224	193	150
225	193	149
226	194	147
227	194	146
228	194	145
229	195	144
230	195	143
231	196	142
232	196	140
233	197	139
234	197	138
235	197	137
236	198	136
237	198	135
238	199	134
239	199	133
240	200	132
241	200	130
242	200	129
243	201	128
244	201	127
245	202	126
246	202	125
247	203	124
248	203	123
249	203	122
250	204	121
251	204	120
252	205	119
253	205	118
254	205	117
255	206	116
256	206	115
257	207	114
258	207	113
259	207	111
260	208	110
261	208	109
262	209	108
263	209	107
264	209	106
265	210	105
266	210	104
267	211	103
268	211	103
269	211	102
270	212	101
271	212	100
272	213	99
273	213	98
274	213	97
275	214	96
276	214	95
277	215	94
278	215	93
279	215	92
280	216	91
281	216	90
282	217	89
283	217	88
284	217	87
285	218	87
286	218	86
287	219	85
288	219	84
289	219	83
290	220	82
291	220	81
292	221	80
293	221	79
294	221	78
295	222	78
296	222	77
297	223	76
298	223	75
299	223	74
300	224	73
301	224	72
302	225	72
303	225	71
304	225	70
305	226	69
306	226	68
307	227	67
308	227	67
309	227	66
310	228	65
311	228	64
312	229	63
313	229	62
314	229	62
315	230	61
316	230	60
317	231	59
318	231	58
319	232	58
320	232	57
321	232	56
322	233	55
323	233	54
324	233	53
325	234	53
326	234	52
327	235	51
328	235	50
329	236	50
330	236	49
331	236	48
332	237	47
333	237	46
334	238	46
335	238	45
336	238	44
337	239	43
338	239	43
339	239	42
340	240	41
341	240	40
342	241	40
343	241	39
344	241	38
345	242	37
346	242	37
347	243	36
348	243	35
349	243	34
350	244	34
351	244	33
352	245	32
353	245	31
354	245	31
355	246	30
356	246	29
357	247	28
358	247	28
359	247	27
360	248	26
361	248	26
362	249	25
363	249	24
364	250	23
365	250	23
366	250	22
367	252	21
368	253	21
369	253	20
370	253	19
371	254	19
372	254	18
373	254	17
374	258	17
375	258	16
376	259	15
377	260	15
378	260	14
379	261	13
380	262	13
381	262	12
382	263	11
383	264	11
384	264	10
385	265	9
386	265	8
387	266	8
388	266	7
389	267	6
390	268	6
391	268	5
392	269	4
393	270	4
394	270	3
395	271	2
396	271	2
397	272	1
398	273	0
399	273	0
